gene,organ_system,evidence_sources,safetyome_scaled_score,tau_score_percentile,conservation_score_percentile,safetyome_scaled_score_percentile,median_tau_conservation_score,median_all_scores
SF3B1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(1), DisGenet(10), DrugBank(3), HPO(10), OpenTargets(172)",5.81,0.04338056531028216,0.9986677635617985,0.9993799921026927,0.5210241644360404,0.9986677635617985
SMAD3,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(10), GWAS(6), HPO(1), OpenTargets(117), PheGenI(1)",4.92,0.2138085999852656,0.9986677635617985,0.9983581913780801,0.6062381817735321,0.9983581913780801
SRSF2,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(2), Diseases(2), HPO(15), OpenTargets(104)",4.46,0.01734977038874291,0.9986677635617985,0.9974195202039445,0.5080087669752708,0.9974195202039445
VCP,Nervous system disorders,"Clinvar(5), DisGenet(5), Diseases(5), HPO(135), OpenTargets(10)",5.32,0.01631836153336116,0.9967707079885072,0.9989193158437996,0.5065445347609342,0.9967707079885072
PLP1,Nervous system disorders,"Clinvar(2), DisGenet(8), Diseases(6), HPO(84), OpenTargets(12)",4.49,0.7366899142948355,0.9961506348075931,0.9975026497544215,0.8664202745512144,0.9961506348075931
PBX1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(1), Diseases(1), HPO(1), OpenTargets(95)",3.97,0.5530623020063358,0.9971943223398246,0.9956045250185309,0.7751283121730802,0.9956045250185309
CTNNB1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(8), DisGenet(39), Diseases(9), DrugBank(1), GWAS(2), HPO(20), OpenTargets(269)",7.65,0.1252732005599077,0.9949473244763144,0.9999307253746026,0.560110262518111,0.9949473244763144
TUBB3,Nervous system disorders,"Clinvar(2), DisGenet(3), HPO(83), OpenTargets(5)",3.86,0.7231710910832249,0.9964330443751381,0.9949394886147153,0.8598020677291816,0.9949394886147153
SMC1A,Nervous system disorders,"Clinvar(2), DisGenet(6), Diseases(2), HPO(87), OpenTargets(16)",4.51,0.2038321750448172,0.9946403575550699,0.9975546057234695,0.5992362662999435,0.9946403575550699
TUBB4A,Nervous system disorders,"Clinvar(1), DisGenet(16), Diseases(2), GWAS(1), HPO(42), OpenTargets(10)",3.72,0.824746445323052,0.9986677635617985,0.9940908744535963,0.9117071044424252,0.9940908744535963
SMAD2,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(1), GWAS(1), HPO(1), OpenTargets(104)",4.16,0.4462378134132266,0.9939159156209327,0.996505095148698,0.7200768645170796,0.9939159156209327
JAZF1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(3), Diseases(2), GWAS(4), OpenTargets(64), PheGenI(1)",3.6,0.4674799243633506,0.9954384715503057,0.9932699701426364,0.7314591979568281,0.9932699701426364
PHOX2B,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(2), DisGenet(2), Diseases(2), HPO(8), OpenTargets(73)",3.94,0.9179722993050269,0.9926880479359544,0.995410556067418,0.9553301736204907,0.9926880479359544
